hospital_name_raw
รพ.วังทอง (11256)
รพ.เนินมะปราง (11257)
รพ.วังทรายพูน (11258)
รพ.โพธิ์ประทับช้าง (11259)
รพ.บางมูลนาก (11260)
รพ.โพทะเล (11261)
รพ.สามง่าม (11262)
รพ.ทับคล้อ (11263)
รพ.ชนแดน (11264)
รพ.หล่มสัก (11265)
รพ.วิเชียรบุรี (11266)
รพ.ศรีเทพ (11267)
รพ.หนองไผ่ (11268)
รพ.บึงสามพัน (11269)
รพ.น้ำหนาว (11270)
รพ.วังโป่ง (11271)
รพ.เขาค้อ (11272)
รพ.สวนผึ้ง (11273)
รพ.บางแพ (11274)
รพ.เจ็ดเสมียน (11275)
รพ.ปากท่อ (11276)
รพ.วัดเพลง (11277)
รพ.ไทรโยค (11278)
รพ.สมเด็จพระปิยมหาราชรมณียเขต (11279)
รพ.บ่อพลอย (11280)
รพ.ท่ากระดาน (11281)
รพ.สมเด็จพระสังฆราชองค์ที่๑๙ (11282)
รพ.ทองผาภูมิ (11283)
รพ.สังขละบุรี (11284)
รพ.เจ้าคุณไพบูลย์พนมทวน (11285)
รพ.เลาขวัญ (11286)
รพ.ด่านมะขามเตี้ย (11287)
รพ.สถานพระบารมี (11288)
รพ.เดิมบางนางบวช (11289)
รพ.ด่านช้าง (11290)
รพ.บางปลาม้า (11291)
รพ.ศรีประจันต์ (11292)
รพ.ดอนเจดีย์ (11293)
รพ.สามชุก (11294)
รพ.อู่ทอง (11295)
รพ.หนองหญ้าไซ (11296)
รพ.กำแพงแสน (11297)
รพ.นครชัยศรี (11298)
รพ.ห้วยพลู (11299)
รพ.ดอนตูม (11300)
รพ.บางเลน (11301)
รพ.สามพราน (11302)
รพ.พุทธมณฑล (11303)
รพ.กระทุ่มแบน (11304)
รพ.บ้านแพ้ว (11305)
รพ.นภาลัย (11306)
รพ.อัมพวา (11307)
รพ.เขาย้อย (11308)
รพ.หนองหญ้าปล้อง (11309)
รพ.ชะอำ (11310)
รพ.ท่ายาง (11311)
รพ.บ้านลาด (11312)
รพ.บ้านแหลม (11313)
รพ.แก่งกระจาน (11314)
รพ.กุยบุรี (11315)
รพ.ทับสะแก (11316)
รพ.บางสะพาน (11317)
รพ.บางสะพานน้อย (11318)
รพ.ปราณบุรี (11319)
รพ.หัวหิน (11320)
รพ.สามร้อยยอด (11321)
รพ.พรหมคีรี (11322)
รพ.ละอุ่น (11323)
