name,province,district,beds_(as_of_2024)[1]
Bueng Samakkhi Hospital,Kamphaeng Phet,Bueng Samakkhi,30
Khanu Woralaksaburi Hospital,Kamphaeng Phet,Khanu Woralaksaburi,90
Khlong Khlung Hospital,Kamphaeng Phet,Khlong Khlung,90
Khlong Lan Hospital,Kamphaeng Phet,Khlong Lan,60
Kosamphi Nakhon Hospital,Kamphaeng Phet,Kosamphi Nakhon,10
Lan Krabue Hospital,Kamphaeng Phet,Lan Krabue,30
Pang Sila Thong Hospital,Kamphaeng Phet,Pang Sila Thong,30
Phran Kratai Hospital,Kamphaeng Phet,Phran Kratai,66
Sai Ngam Hospital,Kamphaeng Phet,Sai Ngam,30
Sai Thong Watthana Hospital,Kamphaeng Phet,Sai Thong Watthana,30
Thung Pho Thale Hospital,Kamphaeng Phet,Thung Pho Thale,10
Bo Phloi Hospital,Kanchanaburi,Bo Phloi,60
Chao Khun Phaibun Phanom Thuan Hospital,Kanchanaburi,Phanom Thuan,59
Dan Makham Tia Hospital,Kanchanaburi,Dan Makham Tia,56
Huai Krachao Chaloem Phrakiat Hospital,Kanchanaburi,Huai Krachao,30
Lao Khwan Hospital,Kanchanaburi,Lao Khwan,54
Nong Prue Hospital,Kanchanaburi,Nong Prue,30
Phayaban Sathan Phra Barami Hospital,Kanchanaburi,Nong Prue,30
Sai Yok Hospital,Kanchanaburi,Sai Yok,58
Sangkhla Buri Hospital,Kanchanaburi,Sangkhla Buri,61
Somdejprasangkharach XIX Hospital,Kanchanaburi,Tha Muang,141
Somdet Phra Piya Maharat Rommaniyakhet Hospital,Kanchanaburi,Sai Yok,30
Suk Siri Si Sawat Hospital,Kanchanaburi,Si Sawat,10
Tha Kradan Hospital,Kanchanaburi,Si Sawat,32
Thong Pha Phum Hospital,Kanchanaburi,Thong Pha Phum,95
Ban Fang Hospital,Khon Kaen,Ban Fang,30
Ban Phai Hospital,Khon Kaen,Ban Phai,142
Chonnabot Hospital,Khon Kaen,Chonnabot,35
Khao Suan Kwang Hospital,Khon Kaen,Khao Suan Kwang,45
Khok Pho Chai Hospital,Khon Kaen,Khok Pho Chai,0
Kranuan Crown Prince Hospital,Khon Kaen,Kranuan,150
Mancha Khiri Hospital,Khon Kaen,Mancha Khiri,65
Nam Phong Hospital,Khon Kaen,Nam Phong,120
Non Sila Hospital,Khon Kaen,Non Sila,30
Nong Na Kham Hospital,Khon Kaen,Nong Na Kham,0
Nong Ruea Hospital,Khon Kaen,Nong Ruea,90
Nong Song Hong Hospital,Khon Kaen,Nong Song Hong,69
Phon Hospital,Khon Kaen,Phon,117
Phra Yuen Hospital,Khon Kaen,Phra Yuen,34
Phu Pha Man Hospital,Khon Kaen,Phu Pha Man,30
Phu Wiang Hospital,Khon Kaen,Phu Wiang,60
Poei Noi Hospital,Khon Kaen,Poei Noi,30
Sam Sung Hospital,Khon Kaen,Sam Sung,30
Si Chomphu Hospital,Khon Kaen,Si Chomphu,78
Ubolratana Hospital,Khon Kaen,Ubolratana,60
Waeng Noi Hospital,Khon Kaen,Waeng Noi,34
Waeng Yai Hospital,Khon Kaen,Waeng Yai,36
Wiang Kao Hospital,Khon Kaen,Wiang Kao,0
Ao Luek Hospital,Krabi,Ao Luek,85
Khao Phanom Hospital,Krabi,Khao Phanom,52
Khlong Thom Hospital,Krabi,Khlong Thom,71
Ko Lanta Hospital,Krabi,Ko Lanta,40
Ko Phi Phi Hospital,Krabi,Mueang,7
Lam Thap Hospital,Krabi,Lam Thap,36
Nuea Khlong Hospital,Krabi,Nuea Khlong,64
Plai Phraya Hospital,Krabi,Plai Phraya,53
Chae Hom Hospital,Lampang,Chae Hom,32
Hang Chat Hospital,Lampang,Hang Chat,30
Ko Kha Hospital,Lampang,Ko Kha,152
Mae Mo Hospital,Lampang,Mae Mo,30
Mae Phrik Hospital,Lampang,Mae Phrik,16
Mae Tha Hospital,Lampang,Mae Tha,33
Mueang Pan Hospital,Lampang,Mueang Pan,30
Ngao Hospital,Lampang,Ngao,40
Soem Ngam Hospital,Lampang,Soem Ngam,30
Sop Prap Hospital,Lampang,Sop Prap,30
Thoen Hospital,Lampang,Thoen,87
Wang Nuea Hospital,Lampang,Wang Nuea,30
Ban Hong Hospital,Lamphun,Ban Hong,30
Ban Thi Hospital,Lamphun,Ban Thi,30
Li Hospital,Lamphun,Li,74
Mae Tha Hospital,Lamphun,Mae Tha,30
Pa Sang Hospital,Lamphun,Pa Sang,75
Thung Hua Chang Hospital,Lamphun,Thung Hua Chang,30
Wiang Nong Long Hospital,Lamphun,Wiang Nong Long,16
Chiang Khan Hospital,Loei,Chiang Khan,59
Dan Sai Crown Prince Hospital,Loei,Dan Sai,60
Erawan Hospital,Loei,Erawan,32
Na Duang Hospital,Loei,Na Duang,30
Na Haeo Hospital,Loei,Na Haeo,20
Nong Hin Hospital,Loei,Nong Hin,30
Pak Chom Hospital,Loei,Pak Chom,34
Pha Khao Hospital,Loei,Pha Khao,40
Phu Kradueng Hospital,Loei,Phu Kradueng,32
Phu Luang Hospital,Loei,Phu Luang,40
Phu Ruea Hospital,Loei,Phu Ruea,30
Tha Li Hospital,Loei,Tha Li,35
Wang Saphung Hospital,Loei,Wang Saphung,120
Chai Badan Hospital,Lopburi,Chai Badan,140
Khok Charoen Hospital,Lopburi,Khok Charoen,30
Khok Samrong Hospital,Lopburi,Khok Samrong,120
Lam Sonthi Hospital,Lopburi,Lam Sonthi,37
Nong Muang Hospital,Lopburi,Nong Muang,35
Phatthana Nikhom Hospital,Lopburi,Phatthana Nikhom,66
Sa Bot Hospital,Lopburi,Sa Bot,30
Tha Luang Hospital,Lopburi,Tha Luang,38
Tha Wung Hospital,Lopburi,Tha Wung,52
Khun Yuam Hospital,Mae Hong Son,Khun Yuam,35
Mae La Noi Hospital,Mae Hong Son,Mae La Noi,34
Mae Sariang Hospital,Mae Hong Son,Mae Sariang,115
Pai Hospital,Mae Hong Son,Pai,58
Pang Mapha Hospital,Mae Hong Son,Pang Mapha,29
Sop Moei Hospital,Mae Hong Son,Sop Moei,30
Borabue Hospital,Maha Sarakham,Borabue,165
Chiang Yuen Hospital,Maha Sarakham,Chiang Yuen,60
Chuen Chom Hospital,Maha Sarakham,Chuen Chom,30
Kae Dam Hospital,Maha Sarakham,Kae Dam,30
Kantharawichai Hospital,Maha Sarakham,Kantharawichai,60
Kosum Phisai Hospital,Maha Sarakham,Kosum Phisai,120
Kut Rang Hospital,Maha Sarakham,Kut Rang,30
Na Chueak Hospital,Maha Sarakham,Na Chueak,68
Na Dun Hospital,Maha Sarakham,Na Dun,30
Phayakkhaphum Phisai Hospital,Maha Sarakham,Phayakkhaphum Phisai,111
Wapi Pathum Hospital,Maha Sarakham,Wapi Pathum,120
Yang Si Surat Hospital,Maha Sarakham,Yang Si Surat,30
Don Tan Hospital,Mukdahan,Don Tan,30
Dong Luang Hospital,Mukdahan,Dong Luang,30
Khamcha-i Hospital,Mukdahan,Khamcha-i,30
Nikhom Kham Soi Hospital,Mukdahan,Nikhom Kham Soi,30
Nong Sung Hospital,Mukdahan,Nong Sung,30
Wan Yai Hospital,Mukdahan,Wan Yai,30
Ban Na Hospital,Nakhon Nayok,Ban Na,70
Ongkharak Hospital,Nakhon Nayok,Ongkharak,31
Pak Phli Hospital,Nakhon Nayok,Pak Phli,10
Bang Len Hospital,Nakhon Pathom,Bang Len,79
Don Tum Hospital,Nakhon Pathom,Don Tum,38
Huai Phlu Hospital,Nakhon Pathom,Nakhon Chai Si,60
Kamphaeng Saen Hospital,Nakhon Pathom,Kamphaeng Saen,120
Luang Pho Poen Hospital,Nakhon Pathom,Nakhon Chai Si,32
Nakhon Chai Si Hospital,Nakhon Pathom,Nakhon Chai Si,60
Phutthamonthon Hospital,Nakhon Pathom,Phutthamonthon,34
Sam Phran Hospital,Nakhon Pathom,Sam Phran,136
Ban Phaeng Hospital,Nakhon Phanom,Ban Phaeng,43
Na Kae Hospital,Nakhon Phanom,Na Kae,61
Na Thom Hospital,Nakhon Phanom,Na Thom,36
Na Wa Hospital,Nakhon Phanom,Na Wa,48
Phon Sawan Hospital,Nakhon Phanom,Phon Sawan,50
Pla Pak Hospital,Nakhon Phanom,Pla Pak,30
Renu Nakhon Hospital,Nakhon Phanom,Renu Nakhon,30
Si Songkhram Hospital,Nakhon Phanom,Si Songkhram,90
Tha Uthen Hospital,Nakhon Phanom,Tha Uthen,40
That Phanom Crown Prince Hospital,Nakhon Phanom,That Phanom,234
Wang Yang Hospital,Nakhon Phanom,Wang Yang,20
Ban Lueam Hospital,Nakhon Ratchasima,Ban Lueam,35
Bua Lai Hospital,Nakhon Ratchasima,Bua Lai,10
Bua Yai Hospital,Nakhon Ratchasima,Bua Yai,200
Chakkarat Hospital,Nakhon Ratchasima,Chakkarat,90
Chaloem Phra Kiat Hospital,Nakhon Ratchasima,Chaloem Phra Kiat,36
Chok Chai Hospital,Nakhon Ratchasima,Chok Chai,91
Chum Phuang Hospital,Nakhon Ratchasima,Chum Phuang,70
Dan Khun Thot Hospital,Nakhon Ratchasima,Dan Khun Thot,120
Huai Thalaeng Hospital,Nakhon Ratchasima,Huai Thalaeng,60
Kaeng Sanam Nang Hospital,Nakhon Ratchasima,Kaeng Sanam Nang,35
Kham Sakae Saeng Hospital,Nakhon Ratchasima,Kham Sakae Saeng,60
Kham Thale So Hospital,Nakhon Ratchasima,Kham Thale So,36
Khon Buri Hospital,Nakhon Ratchasima,Khon Buri,156
Khong Hospital,Nakhon Ratchasima,Khong,60
Lam Thamen Chai Hospital,Nakhon Ratchasima,Lam Thamen Chai,30
Luang Pho Khun Parisuddho Hospital,Nakhon Ratchasima,Dan Khun Thot,114
HRH The Princess Mother Centenary Hospital Mueang Yang,Nakhon Ratchasima,Mueang Yang,30
Makutkiriwan Hospital,Nakhon Ratchasima,Pak Chong,13
Non Daeng Hospital,Nakhon Ratchasima,Non Daeng,30
Non Sung Hospital,Nakhon Ratchasima,Non Sung,86
Non Thai Hospital,Nakhon Ratchasima,Non Thai,75
Nong Bun Mak Hospital,Nakhon Ratchasima,Nong Bun Mak,63
Pak Thong Chai Hospital,Nakhon Ratchasima,Pak Thong Chai,115
Phra Thong Kham Chaloem Phrakiat Hospital,Nakhon Ratchasima,Phra Thong Kham,30
Prathai Hospital,Nakhon Ratchasima,Prathai,72
Sida Hospital,Nakhon Ratchasima,Sida,24
Sikhio Hospital,Nakhon Ratchasima,Sikhio,145
Soeng Sang Hospital,Nakhon Ratchasima,Soeng Sang,60
Sung Noen Hospital,Nakhon Ratchasima,Sung Noen,117
Thepharak Hospital,Nakhon Ratchasima,Thepharak,30
Wang Nam Khiao Hospital,Nakhon Ratchasima,Wang Nam Khiao,51
Banphot Phisai Hospital,Nakhon Sawan,Banphot Phisai,90
Chum Saeng Hospital,Nakhon Sawan,Chum Saeng,60
Chum Ta Bong Hospital,Nakhon Sawan,Chum Ta Bong,5
Kao Liao Hospital,Nakhon Sawan,Kao Liao,34
Krok Phra Hospital,Nakhon Sawan,Krok Phra,30
Lat Yao Hospital,Nakhon Sawan,Lat Yao,90
